clone,clone_type,juju,copper,rep,induction_1,induction_1_pedestal,induction_1_nteeth,induction_2,induction_2_pedestal,induction_2_nteeth,induction_3,induction_3_pedestal,induction_3_nteeth,induction_4,induction_4_pedestal,induction_4_nteeth,induction_5,induction_5_pedestal,induction_5_nteeth,max_induction_total_I1,max_induction_total_I2,max_induction_pedestal_I1,max_induction_pedestal_I2,max_induction_nteeth_I1,max_induction_nteeth_I2,size_1,size_2,size_3,size_4,size_5,size_maturity,age_maturity,survival_time,alive_dead,somaticGrowth_maturity,somaticGrowth_3d,somaticGrowth_4d
D86A,low,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809,0.913,0.957,1.147,1.602,1.634,6,6,0,0.11716456,0.028,0.058
D86A,low,0.00,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817,0.987,1.010,1.274,1.655,1.692,6,6,0,0.121337908,0.035,0.074
D86A,low,0.00,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815,1.003,1.066,1.350,1.756,1.761,6,6,0,0.128408166,0.045,0.084
D86A,low,0.00,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814,1.027,1.087,1.311,1.706,1.729,6,6,0,0.125556353,0.048,0.079
D86A,low,0.10,0,1,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0.758,0.863,1.184,1.595,1.870,2.198,7,7,0,0.152088536,0.064,0.106
D86A,low,0.10,0,2,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,10,0,0.757,0.875,1.171,1.589,1.711,2.072,7,7,0,0.143843764,0.062,0.106
D86A,low,0.10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,0.929,1.212,1.574,1.700,2.043,7,7,0,0.129714866,0.055,0.092
D86A,low,0.10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,0.895,1.204,1.341,1.564,1.987,7,7,0,0.138237642,0.067,0.082
D86A,low,0.10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769,NA,NA,NA,NA,2.087,7,7,0,0.14262742,NA,NA
D86A,low,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
D86A,low,0.25,0,2,30,30,0,10,0,10,0,0,0,0,0,0,0,0,0,30,10,30,0,10,10,0.735,0.885,1.008,1.372,1.508,1.955,7,7,0,0.139753568,0.045,0.089
D86A,low,0.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874,0.894,1.115,1.562,1.730,2.224,7,7,0,0.13342604,0.035,0.083
D86A,low,0.25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873,0.886,1.079,1.496,1.651,2.071,7,7,0,0.123407329,0.030,0.077
D86A,low,0.25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753,NA,NA,NA,NA,1.963,7,7,0,0.136880567,NA,NA
D86A,low,0.50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0.808,0.923,1.172,1.445,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,0,2,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0.765,0.947,0.981,1.359,1.515,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,0,3,10,0,10,30,0,30,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,0.733,0.808,0.808,0.954,NA,NA,NA,5,1,NA,NA,NA
D86A,low,0.50,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848,0.962,1.189,1.658,1.906,2.174,7,7,0,0.134491919,0.048,0.096
D86A,low,0.50,0,5,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,10,10,0.770,0.797,NA,NA,NA,1.946,6,6,0,0.154523458,NA,NA
D86A,low,0.50,0,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.803,NA,NA,NA,NA,1.889,6,6,0,0.142574692,NA,NA
D86A,low,0.00,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0.839,1.005,1.097,1.455,1.736,10,10,0,0.079876375,0.025,0.034
D86A,low,0.00,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793,0.862,1.112,1.540,1.695,1.882,8,8,0,0.108033387,0.042,0.083
D86A,low,0.00,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758,0.888,0.967,1.055,1.485,NA,NA,6,1,NA,NA,NA
D86A,low,0.00,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697,0.748,0.755,0.809,NA,NA,NA,5,1,NA,NA,NA
D86A,low,0.00,5,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.737,NA,NA,NA,NA,1.811,7,7,0,0.128435224,NA,NA
D86A,low,0.00,5,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.773,NA,NA,NA,NA,1.846,7,7,0,0.124356767,NA,NA
D86A,low,0.10,5,1,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0.715,0.791,0.963,0.978,1.100,2.024,9,9,0,0.115616499,0.033,0.035
D86A,low,0.10,5,2,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,10,0,0.690,0.739,0.758,0.912,0.939,NA,NA,6,1,NA,NA,NA
